Analysis Software: CopyCaller v1.0,,
File name: RT110308_Plate1.txt,,
Plate ID: ,,
Target name: Taqman Copy Number Assay,,
Reference name: Taqman Copy Number Reference,,
File Header:,,
SDS 2.4,AQ Results,1
Filename,RT110308_Plate1,
PlateID,,
Assay Type,Absolute Quantification,
Run DateTime,3/8/11 8:29,
Operator,,
ThermalCycleParams,,
Analysis Parameters:,,,,,,,,,,,,,,,,,,,,,,,,,,
VIC Ct detection threshold: 32.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Most frequent sample copy number: 2,,,,,,,,,,,,,,,,,,,,,,,,,,
Total number of samples: 44,,,,,,,,,,,,,,,,,,,,,,,,,,
- Negative control: 1,,,,,,,,,,,,,,,,,,,,,,,,,,
- 2 Copies: 43,,,,,,,,,,,,,,,,,,,,,,,,,,
Total number of wells omitted from analysis: 5,,,,,,,,,,,,,,,,,,,,,,,,,,
- Negative control sample well: 5,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Name,Well Position,FAM Ct,VIC Ct,Delta Ct,Omitted,Flag,Replicate Comments,Target,Reference,Plate ID,CN Calculated,CN Predicted,Confidence,|Z-Score|,Replicate Count,Replicates Analyzed,FAM Ct Mean,VIC Ct Mean,Delta Ct Mean,Delta Ct SD,Delta Delta Ct,RQ,Min CN,Max CN,CN Range,Sample Comments
133101,78,25.979,26.5267,-0.5476,,, ,Taqman Copy Number Assay,Taqman Copy Number Reference,,2.01,2,> 0.99,0.06,4,4,25.8223,26.4348,-0.6124,0.07,-0.01,1.01,1.92,2.13,0.21, 
133101,90,25.6716,26.3694,-0.6978,,, ,,,,,,,,,,,,,,,,,,,
133101,174,25.9244,26.4853,-0.5609,,, ,,,,,,,,,,,,,,,,,,,
133101,186,25.7144,26.3578,-0.6434,,, ,,,,,,,,,,,,,,,,,,,
133102,79,26.0213,26.5526,-0.5313,,, ,Taqman Copy Number Assay,Taqman Copy Number Reference,,1.94,2,> 0.99,0.03,4,4,25.5814,26.1421,-0.5607,0.09,0.04,0.97,1.83,2.11,0.28, 
133102,91,25.3474,26.0276,-0.6803,,, ,,,,,,,,,,,,,,,,,,,
133102,175,25.8713,26.349,-0.4776,,, ,,,,,,,,,,,,,,,,,,,
133102,187,25.0855,25.6391,-0.5537,,, ,,,,,,,,,,,,,,,,,,,
479_1,54,26.0638,26.6781,-0.6142,,, ,Taqman Copy Number Assay,Taqman Copy Number Reference,,1.95,2,> 0.99,0.03,4,4,25.6964,26.2619,-0.5656,0.13,0.04,0.97,1.71,2.06,0.36, 
479_1,66,25.7969,26.1726,-0.3758,,, ,,,,,,,,,,,,,,,,,,,
479_1,150,25.8419,26.4915,-0.6496,,, ,,,,,,,,,,,,,,,,,,,
479_1,162,25.0828,25.7055,-0.6226,,, ,,,,,,,,,,,,,,,,,,,
479_2,55,26.5313,27.2066,-0.6754,,, ,Taqman Copy Number Assay,Taqman Copy Number Reference,,2.19,2,> 0.99,0.96,4,4,25.7551,26.4927,-0.7376,0.08,-0.13,1.1,2.1,2.34,0.24, 
479_2,67,26.3202,26.9977,-0.6775,,, ,,,,,,,,,,,,,,,,,,,
479_2,151,25.7664,26.6004,-0.8341,,, ,,,,,,,,,,,,,,,,,,,
479_2,163,24.4025,25.1659,-0.7634,,, ,,,,,,,,,,,,,,,,,,,
479_3,56,26.4431,26.8535,-0.4103,,, ,Taqman Copy Number Assay,Taqman Copy Number Reference,,1.77,2,> 0.99,0.84,4,4,26.1584,26.5877,-0.4294,0.08,0.18,0.89,1.64,1.87,0.23, 
479_3,68,26.1916,26.6681,-0.4765,,, ,,,,,,,,,,,,,,,,,,,
479_3,152,26.193,26.7031,-0.51,,, ,,,,,,,,,,,,,,,,,,,
479_3,164,25.8057,26.1264,-0.3206,,, ,,,,,,,,,,,,,,,,,,,
