Sample Name	Well Position	FAM Ct	VIC Ct	Delta Ct	Omitted	Flag	Replicate Comments	Target	Reference	Plate ID	CN Calculated	CN Predicted	Confidence	|Z-Score|	Replicate Count	Replicates Analyzed	FAM Ct Mean	VIC Ct Mean	Delta Ct Mean	Delta Ct SD	Delta Delta Ct	RQ	Min CN	Max CN	CN Range	Sample Comments
133101.HS04504215	78	26.3586	26.8906	-0.532			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.8	3	0.95	0.02	4	4	26.2696	26.733	-0.4634	0.14	0.1	0.93	2.55	3.14	0.59	 
133101.HS04504215	90	26.1714	26.8006	-0.6292			 																			
133101.HS04504215	174	26.2097	26.5745	-0.3648			 																			
133101.HS04504215	186	26.3388	26.6664	-0.3276			 																			
133102.HS04504215	79	26.4098	26.9063	-0.4965			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.75	3	0.95	0.1	4	4	26.2179	26.6548	-0.4369	0.07	0.13	0.92	2.6	2.86	0.27	 
133102.HS04504215	91	26.2195	26.6296	-0.4101			 																			
133102.HS04504215	175	26.0991	26.5843	-0.4852			 																			
133102.HS04504215	187	26.143	26.4989	-0.3559			 																			
134101.HS04504215	80	25.88	26.6499	-0.7699			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.93	3	0.97	0.02	4	4	25.8768	26.4092	-0.5324	0.18	0.03	0.98	2.57	3.46	0.89	 
134101.HS04504215	92	25.881	26.423	-0.5419			 																			
134101.HS04504215	176	25.8618	26.2026	-0.3408			 																			
134101.HS04504215	188	25.8844	26.3613	-0.477			 																			
140812.HS04504215	81	26.2714	26.8843	-0.6129			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3	3	0.97	0.05	4	4	26.1237	26.688	-0.5643	0.23	0	1	2.57	3.68	1.12	 
140812.HS04504215	93	25.6767	26.537	-0.8603			 																			
140812.HS04504215	177	26.2825	26.622	-0.3395			 																			
140812.HS04504215	189	26.2643	26.7086	-0.4444			 																			
479_1.HS04504215	54	27.1619	26.971	0.1909			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.71	2	0.98	0.51	4	4	27.1028	26.857	0.2458	0.05	0.81	0.57	1.64	1.78	0.14	 
479_1.HS04504215	66	26.9891	26.6809	0.3082			 																			
479_1.HS04504215	150	27.1001	26.8765	0.2236			 																			
479_1.HS04504215	162	27.16	26.8996	0.2604			 																			
479_2.HS04504215	55	26.9785	27.6264	-0.6479			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.9	3	0.97	0.01	4	4	26.8896	27.4052	-0.5156	0.09	0.05	0.97	2.73	3.18	0.45	 
479_2.HS04504215	67	26.7641	27.2772	-0.5131			 																			
479_2.HS04504215	151	26.9382	27.3665	-0.4283			 																			
479_2.HS04504215	163	26.8777	27.3506	-0.4729			 																			
479_3.HS04504215	56	26.6093	27.1004	-0.4911			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.75	3	0.94	0.05	4	4	26.4139	26.8552	-0.4412	0.14	0.12	0.92	2.53	3.1	0.57	 
479_3.HS04504215	68	26.2311	26.8411	-0.61			 																			
479_3.HS04504215	152	26.4416	26.787	-0.3454			 																			
479_3.HS04504215	164	26.3737	26.6922	-0.3184			 																			
4999_1.HS04504215	57	27.0749	26.9329	0.142			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.63	2	0.98	0.73	4	4	26.8572	26.5448	0.3124	0.12	0.88	0.54	1.53	1.84	0.3	 
4999_1.HS04504215	69	26.4463	26.1106	0.3357			 																			
4999_1.HS04504215	153	26.8944	26.491	0.4034			 																			
4999_1.HS04504215	165	27.0133	26.6449	0.3684			 																			
4999_2.HS04504215	58	26.735	27.3745	-0.6394			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3.07	3	0.98	0.24	4	4	26.6404	27.2358	-0.5954	0.07	-0.03	1.02	2.86	3.19	0.34	 
4999_2.HS04504215	70	26.6597	27.3147	-0.655			 																			
4999_2.HS04504215	154	26.6219	27.1157	-0.4938			 																			
4999_2.HS04504215	166	26.5451	27.1383	-0.5932			 																			
4999_3.HS04504215	59	26.1419	26.9956	-0.8538			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3.27	3	0.94	0.66	4	4	26.1102	26.8004	-0.6902	0.13	-0.13	1.09	2.95	3.67	0.72	 
4999_3.HS04504215	71	26.1324	26.6713	-0.5389			 																			
4999_3.HS04504215	155	26.1369	26.8071	-0.6702			 																			
4999_3.HS04504215	167	26.0295	26.7275	-0.698			 																			
A6208 VHK C-s.HS04504215	75	29.2063	29.8002	-0.5939			 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.76	3	0.93	0.04	4	4	29.3969	29.842	-0.4451	0.15	0.12	0.92	2.51	3.06	0.55	 
A6208 VHK C-s.HS04504215	87	29.5459	29.8647	-0.3187			 																			
A6208 VHK C-s.HS04504215	171	29.2689	29.8271	-0.5582			 																			
A6208 VHK C-s.HS04504215	183	29.5664	29.876	-0.3096			 																			
A6208 VHK F-s.HS04504215	77	27.6958	28.4173	-0.7215			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3.12	3	0.98	0.31	4	4	27.7037	28.3256	-0.6219	0.11	-0.06	1.04	2.84	3.35	0.51	 
A6208 VHK F-s.HS04504215	89	27.8073	28.4948	-0.6876			 																			
A6208 VHK F-s.HS04504215	173	27.6009	28.0861	-0.4852			 																			
A6208 VHK F-s.HS04504215	185	27.711	28.3042	-0.5932			 																			
A6208 VHK M-B.HS04504215	76	27.2309	27.0121	0.2188	x	OCONF	 	Taqman Copy Number Assay	Taqman Copy Number Reference		2.42	2	< 0.50	1.38	4	3	26.8656	27.1225	-0.2569	0.05	0.31	0.81	2.36	2.52	0.16	 
A6208 VHK M-B.HS04504215	88	26.7164	27.0313	-0.3149			 																			
A6208 VHK M-B.HS04504215	172	26.8651	27.1018	-0.2367			 																			
A6208 VHK M-B.HS04504215	184	27.0154	27.2346	-0.2192			 																			
CSc390_1.HS04504215	60	28.6794	28.4016	0.2778			 	Taqman Copy Number Assay	Taqman Copy Number Reference		1.82	2	0.91	0.04	4	4	29.0175	28.858	0.1595	0.16	0.72	0.61	1.64	2.05	0.41	 
CSc390_1.HS04504215	72	29.1491	29.1641	-0.015			 																			
CSc390_1.HS04504215	156	29.2062	28.9017	0.3044			 																			
CSc390_1.HS04504215	168	29.0352	28.9646	0.0707			 																			
CSc390_2.HS04504215	73	26.3774	26.7508	-0.3733			 	Taqman Copy Number Assay	Taqman Copy Number Reference		3	3	0.98	0.09	4	4	26.1398	26.7048	-0.565	0.16	0	1	2.63	3.44	0.81	 
CSc390_2.HS04504215	85	25.9414	26.7025	-0.7611			 																			
CSc390_2.HS04504215	169	26.1983	26.7945	-0.5962			 																			
