IDATprefix,Sample.ID
11005_02@1008472482,4432265366_R01C02
11005_03@1008472481,4432265336_R01C02
11005_01@1008472480,4432265729_R01C02
11014_02@1008472107,4432273696_R01C02
11014_03@1008472106,4432273626_R01C02
11014_01@1008472105,4432273353_R01C02
11016_02@1008472410,4432265560_R01C01
11016_03@1008472004,4432265663_R01C01
11016_01@1008471994,4432273343_R01C01
11021_02@1008472419,4432265301_R01C01
11021_03@1008471966,4432265665_R01C01
11021_01@1008472417,4432265850_R01C01
11024_02@1008472501,4432265366_R02C02
11024_03@1008472502,4432265336_R02C02
11024_01@1008471993,4432265729_R02C02
11026_02@1008472443,4432265301_R01C02
11026_03@1008472442,4432265665_R01C02
11026_01@1008472441,4432265850_R01C02
11028_02@1008472444,4432265301_R02C02
11028_03@1008472445,4432265665_R02C02
11028_01@1008472446,4432265850_R02C02
11029_02@1008472491,4432265510_R01C02
11029_03@1008472490,4432265448_R01C02
11029_01@1008472489,4432265243_R01C02
11035_02@1008472050,4432265380_R01C02
11035_03@1008472048,4432265452_R01C02
11035_01@1008471376,4432273350_R01C02
11044_02@1008472053,4432273047_R01C02
11044_03@1008472052,4432265389_R01C02
11044_01@1008472051,4432265399_R01C02
11046_02@1008472077,4432273004_R01C01
11046_03@1008472076,4439521363_R01C01
11046_01@1008472075,4432273099_R01C01
12002_02@1008489065,4281452504_R02C02
12002_03@1008490119,4281452329_R01C01
12002_01@1008489061,4281452504_R01C02
12003_02@1008489084,4281452329_R01C02
12003_03@1008489085,4281452329_R02C02
12003_01@1008489064,4281452329_R02C01
12004_02@1008490093,4281452352_R02C01
12004_03@1008490095,4281452352_R01C02
12004_01@1008489060,4281452352_R01C01
12005_02@1008490120,4281452281_R01C01
12005_03@1008490143,4281452281_R01C02
12005_01@1008490117,4281452352_R02C02
12006_02@1008490073,4281452405_R01C01
12006_03@1008490092,4281452405_R02C01
12006_01@1008490165,4281452281_R02C02
12008_02@1008490145,4281452067_R01C02
12008_03@1008490164,4281452067_R02C02
12008_01@1008490140,4281452067_R02C01
12010_02@1008490122,4281452282_R01C01
12010_03@1008490139,4281452282_R02C01
12010_01@1008490115,4281452679_R02C02
12011_02@1008490163,4281452282_R02C02
12011_03@1008489043,4281452104_R01C01
12011_01@1008490146,4281452282_R01C02
12014_02@1008489044,4281452211_R01C01
12014_03@1008490089,4281452211_R02C01
12014_01@1008490162,4281452208_R02C02
12015_02@1008490113,4281452211_R02C02
12015_03@1008490124,4281452027_R01C01
12015_01@1008490100,4281452211_R01C02
12017_02@1008490088,4281452639_R02C01
12017_03@1008490101,4281452639_R01C02
12017_01@1008489083,4281452639_R01C01
12018_02@1008490125,4281452789_R01C01
12018_03@1008490136,4281452789_R02C01
12018_01@1008490112,4281452639_R02C02
12019_02@1008490160,4281452789_R02C02
12019_03@1008489092,4281452404_R01C01
12019_01@1008490149,4281452789_R01C02
12020_02@1008490102,4281452404_R01C02
12020_03@1008490111,4281452404_R02C02
12020_01@1008490087,4494491049_R01C01
12021_02@1008490135,4281452749_R02C01
12021_03@1008490150,4281452749_R01C02
12021_01@1008490126,4281452749_R01C01
12022_02@1008490086,4281452130_R02C01
12022_03@1008490103,4281452130_R01C02
12022_01@1008489034,4281452130_R01C01
12023_02@1008490127,4281452524_R01C01
12023_03@1008490134,4281452524_R02C01
12023_01@1008490110,4281452130_R02C02
12024_02@1008490158,4281452524_R02C02
12024_03@1008489033,4281452353_R01C01
12024_01@1008490151,4281452524_R01C02
12026_02@1008490133,4281452160_R02C01
12026_03@1008489082,4306955465_R01C02
12026_01@1008490128,4281452160_R01C01
12027_02@1008490084,4281452775_R02C01
12027_03@1008490105,4281452775_R01C02
12027_01@1008490157,4306955465_R02C02
12028_02@1008490129,4281452526_R01C01
12028_03@1008490132,4281452526_R02C01
12028_01@1008490108,4281452775_R02C02
12029_02@1008490156,4281452526_R02C02
12029_03@1008489071,4281452678_R01C01
12029_01@1008490153,4281452526_R01C02
12031_02@1008494894,4281452290_R02C01
12031_03@1008489248,4281452290_R01C02
12031_01@1008494871,4281452290_R01C01
12032_02@1008494919,4281840325_R01C01
12032_03@1008494942,4281840325_R02C01
12032_01@1008494918,4281452290_R02C02
12033_02@1008494966,4281840325_R02C02
12033_03@1008494872,4281840089_R01C01
12033_01@1008494943,4281840325_R01C02
12036_02@1008494892,4281840331_R02C01
12036_03@1008494897,4281840331_R01C02
12036_01@1008494873,4281840331_R01C01
12037_02@1008494921,4281840049_R01C01
12037_03@1008494940,4281840049_R02C01
12037_01@1008494916,4281840331_R02C02
12038_02@1008494964,4281840049_R02C02
12038_03@1008494874,4281452328_R01C01
12038_01@1008494945,4281840049_R01C02
12039_02@1008494898,4281452328_R01C02
12039_03@1008494915,4281452328_R02C02
12039_01@1008494891,4281452328_R02C01
12040_02@1008494939,4281452610_R02C01
12040_03@1008494946,4281452610_R01C02
12040_01@1008494922,4281452610_R01C01
12041_02@1008494875,4281452611_R01C01
12041_03@1008494890,4281452611_R02C01
12041_01@1008494963,4281452610_R02C02
12042_02@1008494914,4281452611_R02C02
12042_03@1008494938,4281840051_R02C01
12042_01@1008494899,4281452611_R01C02
12043_02@1008494962,4281840051_R02C02
12043_03@1008494876,4281840057_R01C01
12043_01@1008494947,4281840051_R01C02
12047_02@1008494901,4281840072_R01C02
12047_03@1008494912,4281840072_R02C02
12047_01@1008494888,4281840072_R02C01
12049_02@1008494878,4281452041_R01C01
12049_03@1008494887,4281452041_R02C01
12049_01@1008494960,4281840050_R02C02
12050_02@1008494911,4432273004_R02C01
12050_03@1008494926,4432273099_R02C01
12050_01@1008494902,4439521363_R02C01
12052_02@1008494886,4281840063_R02C01
12052_03@1008494903,4281840063_R01C02
12052_01@1008494879,4281840063_R01C01
12053_02@1008494927,4281452033_R01C01
12053_03@1008494934,4281452033_R02C01
12053_01@1008494910,4281840063_R02C02
12054_02@1008494958,4281452033_R02C02
12054_03@1008494880,4281452318_R01C01
12054_01@1008494951,4281452033_R01C02
12055_02@1008494904,4281452318_R01C02
12055_03@1008494909,4281452318_R02C02
12055_01@1008494885,4281452318_R02C01
12056_02@1008494933,4281840071_R02C01
12056_03@1008489272,4281840071_R01C02
12056_01@1008489250,4281840071_R01C01
12057_02@1008494881,4281452546_R01C01
12057_03@1008494884,4281452546_R02C01
12057_01@1008494957,4281840071_R02C02
12058_02@1008489247,4281452546_R02C02
12058_03@1008494929,4281840065_R01C01
12058_01@1008494905,4281452546_R01C02
12059_02@1008494956,4281840065_R02C02
12059_03@1008494882,4281840055_R01C01
12059_01@1008494932,4281840065_R02C01
12060_02@1008494906,4281840055_R01C02
12060_03@1008494907,4281840055_R02C02
12060_01@1008494883,4281840055_R02C01
12061_02@0067868239,4439521417_R02C01
12061_03@0067868238,4439521417_R01C02
12061_01@0067868262,4439521417_R01C01
12062_02@0067868214,4439521416_R01C01
12062_03@0067868191,4439521416_R02C01
12062_01@0067868215,4439521417_R02C02
12063_02@0067868167,4439521416_R02C02
12063_03@0067868261,4439521266_R01C01
12063_01@0067868190,4439521416_R01C02
12064_02@0067868237,4439521266_R01C02
12064_03@0067868216,4439521266_R02C02
12064_01@0067868240,4439521266_R02C01
12065_02@0067868189,4434578778_R01C02
12065_03@0067868168,4434578778_R02C02
12065_01@0067868192,4506252015_R02C01
12066_02@0067868241,4439521350_R02C01
12066_03@0067868236,4439521350_R01C02
12066_01@0067868260,4439521350_R01C01
12068_02@0067868169,4439521170_R02C02
12068_03@0067868259,4439521405_R01C01
12068_01@0067868188,4439521170_R01C02
12069_02@0067868235,4439521405_R01C02
12069_03@0067868218,4439521405_R02C02
12069_01@0067868242,4439521405_R02C01
12071_02@0067868258,4439521225_R01C01
12071_03@0067868243,4439521225_R02C01
12071_01@0067868170,4439521351_R02C02
12072_02@0067868219,4439521225_R02C02
12072_03@0067868210,4434578824_R01C01
12072_01@0067868234,4439521225_R01C02
12073_02@0067868171,4434578824_R02C02
12073_03@0067868257,4439521244_R01C01
12073_01@0067868186,4434578824_R01C02
12074_02@0067868233,4439521244_R01C02
12074_03@0067868220,4439521244_R02C02
12074_01@0067868244,4439521244_R02C01
12075_02@0067868196,4439521260_R02C01
12075_03@0067868185,4439521260_R01C02
12075_01@0067868209,4439521260_R01C01
12076_02@0067868256,4439521365_R01C01
12076_03@0067868245,4439521365_R02C01
12076_01@0067868172,4439521260_R02C02
12077_02@0067868221,4439521365_R02C02
12077_03@0067868208,4439521217_R01C01
12077_01@0067868232,4439521365_R01C02
12078_02@0067868184,4439521217_R01C02
12078_03@0067868173,4439521217_R02C02
12078_01@0067868197,4439521217_R02C01
12079_02@0067868246,4434578460_R02C01
12079_03@0067868231,4434578460_R01C02
12079_01@0067868255,4434578460_R01C01
12080_02@0067868207,4439521261_R01C01
12080_03@0067868198,4439521261_R02C01
12080_01@0067868222,4434578460_R02C02
12081_02@0067866516,4439521027_R01C01
12081_03@0067868247,4439521027_R02C01
12081_01@0067868174,4439521261_R02C02
12082_02@0067868223,4439521027_R02C02
12082_03@0067868206,4439521246_R01C01
12082_01@0067868230,4439521027_R01C02
12087_02@0067868228,4439521317_R01C02
12087_03@0067868225,4439521317_R02C02
12087_01@0067868249,4439521317_R02C01
12089_02@0067868250,4439521175_R02C01
12089_03@0067868227,4439521175_R01C02
12089_01@0067868251,4439521175_R01C01
12090_02@0067868203,4439521335_R01C01
12090_03@0067868202,4439521335_R02C01
12090_01@0067868226,4439521175_R02C02
12091_02@0067866319,4281452644_R02C01
12091_03@0067866318,4281452644_R01C02
12091_01@0067866342,4281452644_R01C01
12092_02@0067866294,4281452810_R01C01
12092_03@0067866271,4281452810_R02C01
12092_01@0067866295,4281452644_R02C02
12093_02@0067866247,4281452810_R02C02
12093_03@0067863704,4281452642_R01C01
12093_01@0067866270,4281452810_R01C02
12094_02@0067866317,4281452642_R01C02
12094_03@0067866293,4281452747_R01C01
12094_01@0067866320,4281452642_R02C01
12095_02@0067866269,4281452747_R01C02
12095_03@0067866248,4281452747_R02C02
12095_01@0067866272,4281452747_R02C01
12098_02@0067866273,4281452690_R02C01
12098_03@0067866268,4281452690_R01C02
12098_01@0067866292,4281452690_R01C01
